id,num_of_passes,diffTime,average
2330,100,3151,3156
2331,100,3345,3156
2332,100,3391,3156
2333,100,3255,3156
2334,100,3135,3156
2335,100,3196,3156
2336,100,3150,3156
2337,100,3181,3156
2338,100,3150,3156
2339,100,3150,3156
2340,100,3195,3156
2341,100,3135,3156
2342,100,3106,3156
2343,100,3060,3156
2344,100,3031,3156
2345,100,3075,3156
2346,100,3075,3156
2347,100,3151,3156
2348,100,3180,3156
2349,100,3211,3156
2350,100,3150,3156
2351,100,3195,3156
2352,100,3211,3156
2353,100,3195,3156
2354,100,3166,3156
2355,100,3135,3156
2356,100,3210,3156
2357,100,3090,3156
2358,100,3120,3156
2359,100,3166,3156
2360,100,3045,3156
2361,100,3075,3156
2362,100,3090,3156
2363,100,3075,3156
2364,100,3046,3156
2365,100,3135,3156
2366,100,3136,3156
2367,100,3090,3156
2368,100,3165,3156
2369,100,3211,3156
2370,100,3165,3156
2371,100,3211,3156
2372,100,3180,3156
2373,100,3240,3156
2374,100,3151,3156
2375,100,3135,3156
2376,100,3121,3156
2377,100,3135,3156
2378,100,3105,3156
2379,100,3016,3156
2380,100,3090,3156
2381,100,3046,3156
2382,100,3090,3156
2383,100,3075,3156
2384,100,3075,3156
2385,100,3180,3156
2386,100,3061,3156
2387,100,3180,3156
2388,100,3196,3156
2389,100,3180,3156
2390,100,3180,3156
2391,100,3211,3156
2392,100,3165,3156
2393,100,3166,3156
2394,100,3150,3156
2395,100,3135,3156
2396,100,3121,3156
2397,100,3150,3156
2398,100,3061,3156
2399,100,3060,3156
2400,100,3090,3156
2401,100,3031,3156
2402,100,3180,3156
2403,100,3091,3156
2404,100,3105,3156
2405,100,3105,3156
2406,100,3151,3156
2407,100,3135,3156
2408,100,3136,3156
2409,100,3150,3156
2410,100,3211,3156
2411,100,3180,3156
2412,100,3195,3156
2413,100,3166,3156
2414,100,3105,3156
2415,100,3136,3156
2416,100,3135,3156
2417,100,3060,3156
2418,100,3091,3156
2419,100,3075,3156
2420,100,3121,3156
2421,100,3135,3156
2422,100,3060,3155
2423,100,3211,3155
2424,100,3120,3155
2425,100,3136,3155
2426,100,3180,3155
2427,100,3090,3155
2428,100,3151,3155
2429,100,3150,3155
2430,100,3106,3155
2431,100,3165,3155
2432,100,3165,3155
2433,100,3180,3155
2434,100,3165,3155
2435,100,3166,3155
2436,100,3060,3155
2437,100,3121,3155
2438,100,3120,3155
2439,100,3135,3155
2440,100,3136,3155
2441,100,3135,3155
2442,100,3211,3155
2443,100,3090,3155
2444,100,3135,3155
2445,100,3106,3155
2446,100,3090,3155
2447,100,3136,3155
2448,100,3105,3155
2449,100,3105,3155
2450,100,3136,3155
2451,100,3195,3155
2452,100,3166,3155
2453,100,3120,3155
2454,100,3195,3155
2455,100,3075,3155
2456,100,3135,3155
2457,100,3136,3155
2458,100,3120,3155
2459,100,3136,3155
